gene,estimate,statistic,p.value,method,alternative,pos_corr_rank,neg_corr_rank
MED1,-0.034682081,-0.677399889,0.498152269,Kendall's rank correlation tau,two.sided,126,100
TMEM168,-0.033337814,-0.651144079,0.514953485,Kendall's rank correlation tau,two.sided,125,101
UBAP2L,-0.032396828,-0.632765012,0.526887108,Kendall's rank correlation tau,two.sided,124,102
LINGO2,-0.031859121,-0.622262688,0.533769151,Kendall's rank correlation tau,two.sided,123,103
NPAS3,-0.031590268,-0.617011526,0.537227123,Kendall's rank correlation tau,two.sided,122,104
TPR,-0.030783707,-0.601258041,0.547668132,Kendall's rank correlation tau,two.sided,121,105
KLF12,-0.028364027,-0.553997583,0.5795805,Kendall's rank correlation tau,two.sided,120,106
TULP4,-0.027826321,-0.54349526,0.586788854,Kendall's rank correlation tau,two.sided,119,107
ZC3H12C,-0.026885334,-0.525116193,0.59950242,Kendall's rank correlation tau,two.sided,118,108
SLITRK1,-0.026078774,-0.509362707,0.610498011,Kendall's rank correlation tau,two.sided,117,109
ZFP91,-0.023927947,-0.467353412,0.640247049,Kendall's rank correlation tau,two.sided,116,110
NYAP2,-0.022718107,-0.443723183,0.657242732,Kendall's rank correlation tau,two.sided,115,111
EPHA4,-0.021239414,-0.414841792,0.678257723,Kendall's rank correlation tau,two.sided,114,112
CEP57L1,-0.020567281,-0.401713887,0.687894603,Kendall's rank correlation tau,two.sided,113,113
GAREM,-0.020567281,-0.401713887,0.687894603,Kendall's rank correlation tau,two.sided,113,113
HMGB3,-0.020029574,-0.391211564,0.695640862,Kendall's rank correlation tau,two.sided,112,114
MBD5,-0.019895147,-0.388585983,0.697582438,Kendall's rank correlation tau,two.sided,111,115
CD40LG,-0.018819734,-0.367581335,0.713185434,Kendall's rank correlation tau,two.sided,110,116
NUDT5,-0.017206614,-0.336074363,0.73681479,Kendall's rank correlation tau,two.sided,109,117
RNF121,-0.016668907,-0.32557204,0.74474817,Kendall's rank correlation tau,two.sided,108,118
MKL2,-0.015593494,-0.304567392,0.760695658,Kendall's rank correlation tau,two.sided,107,119
PAK7,-0.015593494,-0.304567392,0.760695658,Kendall's rank correlation tau,two.sided,107,119
