miRNA,coefficient,HR,CI_95%,p_value_wald_test
hsa-miR-188-3p,0.34,1.4,1.06-1.86,1.83E-02
hsa-miR-502-3p,0.28,1.33,1.03-1.72,3.05E-02
hsa-miR-501-3p,0.2,1.23,1.06-1.42,7.72E-03
hsa-miR-532-5p,0.17,1.18,1.02-1.37,2.77E-02
