miRNA,coefficient,HR,CI_95%,p_value_wald_test
hsa-miR-532-5p,0.23,1.26,1.1-1.43,5.34E-04
hsa-miR-501-3p,0.21,1.24,1.1-1.39,3.05E-04
hsa-miR-502-3p,0.2,1.23,1.06-1.42,5.38E-03
hsa-miR-584-5p,0.15,1.16,1.03-1.3,1.19E-02
hsa-miR-196b-5p,0.12,1.12,1.05-1.21,1.51E-03
