"","Name","Score"
"NKAP","NKAP",0.925912958229754
"CD40LG","CD40LG",0.932215258569378
"KRAS","KRAS",0.935261370400196
"ANTXR2","ANTXR2",0.938237456671685
"CYCS","CYCS",0.941143517383845
"PAK7","PAK7",0.943979552536676
"UBE2E3","UBE2E3",0.952067504639193
"PLXNA4","PLXNA4",0.952067504639193
"APBB2","APBB2",0.954623437554707
"PSMD9","PSMD9",0.957109344910893
"FGF14","FGF14",0.964146913623473
"ORMDL2","ORMDL2",0.966352718742341
"MAP1B","MAP1B",0.966352718742341
"NRP2","NRP2",0.96848849830188
"PURA","PURA",0.96848849830188
"IDE","IDE",0.97055425230209
"ZDHHC13","ZDHHC13",0.976331360946746
"TMUB2","TMUB2",0.979832638913203
